modelo,impulso,resposta,h,lags,coef,se,t,pvalor,ci_low,ci_high,significativo_90,nobs,r2,hac_maxlags,bloco
bloco_B_principal_dln_diesel_para_ipca_transporte_mensal,dln_diesel,ipca_transporte_mensal,3,3,0.09596101253857367,0.22912253431359375,0.4188196190569124,0.6753479654739554,-0.2809120190434542,0.4728340441206015,False,266,0.4889358138063077,4,B_combustiveis_para_ipca
bloco_B_principal_dln_diesel_para_ipca_transporte_mensal,dln_diesel,ipca_transporte_mensal,6,3,-0.2861003395215797,0.4003012737740844,-0.7147125384443428,0.4747866884320875,-0.9445373415621767,0.37233666251901726,False,263,0.460905464942411,7,B_combustiveis_para_ipca
bloco_B_principal_dln_diesel_para_ipca_transporte_mensal,dln_diesel,ipca_transporte_mensal,12,3,-0.08239182161216285,0.36881994553928127,-0.22339307461176253,0.8232295938116796,-0.6890466467244941,0.5242630035001684,False,257,0.42865238297626806,13,B_combustiveis_para_ipca
bloco_B_principal_dln_diesel_para_ipca_transporte_mensal,dln_diesel,ipca_transporte_mensal,24,3,-0.14637255014341022,0.290379055265076,-0.5040740628134914,0.6142093326692442,-0.6240035923869125,0.33125849210009206,False,245,0.48201904023898134,25,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_para_ipca_geral_mensal,dln_gasolina,ipca_geral_mensal,3,3,0.11737970608253989,0.06394647955355219,1.8355929349361582,0.06641788284589079,0.012197107258101414,0.22256230490697837,True,266,0.6691478291093478,4,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_para_ipca_geral_mensal,dln_gasolina,ipca_geral_mensal,6,3,0.10674078990297847,0.07855205779223716,1.3588541523036592,0.1741928095163785,-0.02246584726108447,0.23594742706704142,False,263,0.6216689678670104,7,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_para_ipca_geral_mensal,dln_gasolina,ipca_geral_mensal,12,3,0.12039924214796449,0.10202131432117961,1.1801381206374992,0.23794528518533564,-0.04741088673958396,0.2882093710355129,False,257,0.5411178483940196,13,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_para_ipca_geral_mensal,dln_gasolina,ipca_geral_mensal,24,3,0.0782711319385494,0.23520971950997996,0.3327716733033575,0.7393066421770236,-0.30861442829167957,0.46515669216877836,False,245,0.48836253751057257,25,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_para_ipca_transporte_mensal,dln_gasolina,ipca_transporte_mensal,3,3,1.0218323250259798,0.20483941905044134,4.988455492418455,6.086392949633534e-07,0.6849014636582289,1.3587631863937306,True,266,0.5300236429992106,4,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_para_ipca_transporte_mensal,dln_gasolina,ipca_transporte_mensal,6,3,1.0969438016999806,0.21768325186158483,5.039174085829436,4.675450686608684e-07,0.7388867153488621,1.4550008880510992,True,263,0.4715142108102225,7,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_para_ipca_transporte_mensal,dln_gasolina,ipca_transporte_mensal,12,3,1.0823943421309934,0.16092899361494017,6.725912576827965,1.744959732263851e-11,0.8176897033018087,1.347098980960178,True,257,0.4750319152320954,13,B_combustiveis_para_ipca
bloco_B_principal_dln_gasolina_para_ipca_transporte_mensal,dln_gasolina,ipca_transporte_mensal,24,3,0.9183492851726756,0.30722118311129365,2.9892121235663467,0.0027969787698882698,0.41301540785574187,1.4236831624896094,True,245,0.4770191805946967,25,B_combustiveis_para_ipca
