h,coef,se,t,pvalor,ci_low,ci_high,nobs,arquivo,h_ref
12.0,0.3109472505691294,0.2396472858736138,1.297520434815682,0.1944521786608145,-0.0832725346929653,0.7051670358312241,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_refinaria_para_ipca_geral.csv,12
24.0,0.1737944465615776,0.225109752899204,0.7720431670474823,0.4400888611390797,-0.1965110969576129,0.5440999900807683,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_refinaria_para_ipca_geral.csv,24
3.0,0.9815626213530668,0.2743036592830652,3.578379610095365,0.0003457310562275,0.5303331018324245,1.4327921408737092,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_refinaria_para_ipca_transporte.csv,3
6.0,0.956711753718553,0.3290015406712317,2.9079248436547185,0.0036383576657305,0.4155042193143768,1.4979192881227292,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_refinaria_para_ipca_transporte.csv,6
12.0,1.1032256461165404,0.5179302382422538,2.130066106703204,0.0331661560441058,0.2512304042080329,1.955220888025048,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_refinaria_para_ipca_transporte.csv,12
24.0,0.9176648750789216,0.3320417892374274,2.7637029579513044,0.0057149538587151,0.3714561317833535,1.4638736183744896,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_refinaria_para_ipca_transporte.csv,24
3.0,0.0026522258443423,0.0222703724873325,0.1190921187263891,0.9052023746519372,-0.0339825368973196,0.0392869885860043,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_diesel_para_ipca_geral.csv,3
6.0,-0.0201529561245263,0.0289796924669701,-0.6954164937221415,0.4867943270394375,-0.0678245502326921,0.0275186379836395,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_diesel_para_ipca_geral.csv,6
12.0,-0.0115781796066206,0.0182759347278112,-0.6335205164090258,0.5263937874006088,-0.0416420922338701,0.0184857330206289,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_diesel_para_ipca_geral.csv,12
24.0,-0.0429288688554777,0.0160326088930099,-2.6775972109064807,0.0074152331241613,-0.069302510484479,-0.0165552272264764,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_diesel_para_ipca_geral.csv,24
3.0,-0.102019752678799,0.0680834481352841,-1.4984516130276224,0.1340159552317103,-0.2140170248613415,0.0099775195037434,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_diesel_para_ipca_transporte.csv,3
6.0,-0.0390559718110911,0.1056838981478223,-0.3695546104522257,0.7117143759885389,-0.2129059842642588,0.1347940406420765,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_diesel_para_ipca_transporte.csv,6
12.0,0.0705929335197482,0.0839242056860179,0.8411510474564948,0.4002633205034793,-0.0674623848337511,0.2086482518732477,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_diesel_para_ipca_transporte.csv,12
24.0,-0.1182247366023013,0.0521441907062596,-2.2672657299120567,0.0233739976333495,-0.2040019303140984,-0.0324475428905041,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_diesel_para_ipca_transporte.csv,24
